Infra Disposition,SKUAzure,SKUAWS,SKU GCP,On Prem Datbase Name,AWS Database Name,AWS Database instance,Azure Database Name,Azure database instance,GCP database Name,GCP Database Instance
,,r5.xlarge,,,,,,,,
,,r5a.12xlarge,,,,,,,,
,,r5a.16xlarge,,,,,,,,
,,r5a.24xlarge,,,,,,,,
,,r5a.2xlarge,,,,,,,,
,,r5a.4xlarge,,,,,,,,
,,r5a.8xlarge,,,,,,,,
,,r5a.large,,,,,,,,
,,r5a.xlarge,,,,,,,,
,,r5ad.12xlarge,,,,,,,,
,,r5ad.16xlarge,,,,,,,,
,,r5ad.24xlarge,,,,,,,,
,,r5ad.4xlarge,,,,,,,,
,,r5ad.8xlarge,,,,,,,,
,,r5ad.large,,,,,,,,
,,r5ad.xlarge,,,,,,,,
,,r5d.12xlarge,,,,,,,,
,,r5d.16xlarge,,,,,,,,
,,r5d.24xlarge,,,,,,,,
,,r5d.2xlarge,,,,,,,,
,,r5d.4xlarge,,,,,,,,
,,r5d.8xlarge,,,,,,,,
,,r5d.large,,,,,,,,
,,r5d.metal,,,,,,,,
,,r5d.xlarge,,,,,,,,
,,r5dn.12xlarge,,,,,,,,
,,r5dn.24xlarge,,,,,,,,
,,r5dn.4xlarge,,,,,,,,
,,r5dn.8xlarge,,,,,,,,
,,r5dn.large,,,,,,,,
,,r5dn.metal,,,,,,,,
,,r5dn.xlarge,,,,,,,,
,,r5n.12xlarge,,,,,,,,
,,r5n.16xlarge,,,,,,,,
,,r5n.24xlarge,,,,,,,,
,,r5n.2xlarge,,,,,,,,
,,r5n.4xlarge,,,,,,,,
,,r5n.large,,,,,,,,
,,r5n.xlarge,,,,,,,,
,,r6g.12xlarge,,,,,,,,
,,r6g.16xlarge,,,,,,,,
,,r6g.2xlarge,,,,,,,,
,,r6g.4xlarge,,,,,,,,
,,r6g.8xlarge,,,,,,,,
,,r6g.large,,,,,,,,
,,r6g.medium,,,,,,,,
,,r6g.metal,,,,,,,,
,,r6gd.2xlarge,,,,,,,,
,,r6gd.4xlarge,,,,,,,,
,,r6gd.8xlarge,,,,,,,,
,,r6gd.medium,,,,,,,,
,,r6gd.metal,,,,,,,,
,,t2.2xlarge,,,,,,,,
,,t2.large,,,,,,,,
,,t2.medium,,,,,,,,
,,t2.micro,,,,,,,,
,,t2.nano,,,,,,,,
,,t2.small,,,,,,,,
,,t2.xlarge,,,,,,,,
,,t3.2xlarge,,,,,,,,
,,t3.large,,,,,,,,
,,t3.medium,,,,,,,,
,,t3.micro,,,,,,,,
,,t3.small,,,,,,,,
,,t3.xlarge,,,,,,,,
,,t3a.2xlarge,,,,,,,,
,,t3a.large,,,,,,,,
,,t3a.medium,,,,,,,,
,,t3a.micro,,,,,,,,
,,t3a.nano,,,,,,,,
,,t3a.small,,,,,,,,
,,t3a.xlarge,,,,,,,,
,,t4g.large,,,,,,,,
,,t4g.micro,,,,,,,,
,,t4g.small,,,,,,,,
,,x1.16xlarge,,,,,,,,
,,x1.32xlarge,,,,,,,,
,,x1e.16xlarge,,,,,,,,
,,x1e.2xlarge,,,,,,,,
,,x1e.32xlarge,,,,,,,,
,,x1e.4xlarge,,,,,,,,
,,x1e.8xlarge,,,,,,,,
,,x1e.xlarge,,,,,,,,
,,z1d.12xlarge,,,,,,,,
,,z1d.2xlarge,,,,,,,,
,,z1d.3xlarge,,,,,,,,
,,z1d.6xlarge,,,,,,,,
,,z1d.large,,,,,,,,
,,z1d.metal,,,,,,,,
,,z1d.xlarge,,,,,,,,
,,t2.large,,,,,,,,
,,t2.medium,,,,,,,,
,,t2.micro,,,,,,,,
,,t2.nano,,,,,,,,
,,t2.small,,,,,,,,
,,t2.xlarge,,,,,,,,
,,t3.2xlarge,,,,,,,,
,,t3.large,,,,,,,,
,,t3.medium,,,,,,,,
,,t3.micro,,,,,,,,
,,t3.small,,,,,,,,
,,t3.xlarge,,,,,,,,
,,t3a.2xlarge,,,,,,,,
,,t3a.large,,,,,,,,
,,t3a.medium,,,,,,,,
,,t3a.micro,,,,,,,,
,,t3a.nano,,,,,,,,
,,t3a.small,,,,,,,,
,,t3a.xlarge,,,,,,,,
,,t4g.large,,,,,,,,
,,t4g.micro,,,,,,,,
,,t4g.small,,,,,,,,
,,x1.16xlarge,,,,,,,,
,,x1.32xlarge,,,,,,,,
,,x1e.16xlarge,,,,,,,,
,,x1e.2xlarge,,,,,,,,
,,x1e.32xlarge,,,,,,,,
,,x1e.4xlarge,,,,,,,,
,,x1e.8xlarge,,,,,,,,
,,x1e.xlarge,,,,,,,,
,,z1d.12xlarge,,,,,,,,
,,z1d.2xlarge,,,,,,,,
,,z1d.3xlarge,,,,,,,,
,,z1d.6xlarge,,,,,,,,
,,z1d.large,,,,,,,,
,,z1d.metal,,,,,,,,
,,z1d.xlarge,,,,,,,,
